house ID,price,collected time,post code,address
{47844C80-64FF-8986-E050-A8C063056488},537000,19/01/2017 00:00,SW4 7LP,66  GROUND FLOOR FLAT  TREMADOC ROAD
{47844C80-6500-8986-E050-A8C063056488},1230000,16/01/2017 00:00,SW18 5RJ,227  APARTMENT 22  WIMBLEDON PARK ROAD
{47844C80-6504-8986-E050-A8C063056488},770000,16/01/2017 00:00,SW11 2PT,13    ROWENA CRESCENT
{47844C80-650B-8986-E050-A8C063056488},386000,06/01/2017 00:00,SW2 4AP,BALCOMBE HOUSE  FLAT 12  STREATHAM HILL
{4C4EDFFF-3BA9-1854-E050-A8C063054F34},320000,28/02/2017 00:00,E17 3RQ,25    WINSBEACH
{4C4EDFFF-3BAB-1854-E050-A8C063054F34},282000,15/02/2017 00:00,E4 8PT,178    SINCLAIR ROAD
{4C4EDFFF-3BB3-1854-E050-A8C063054F34},445000,16/03/2017 00:00,E7 0AW,13    HUDDLESTONE ROAD
{4C4EDFFF-3BB9-1854-E050-A8C063054F34},250000,17/03/2017 00:00,E13 8QW,88    WIGSTON ROAD
{4C4EDFFF-3BBA-1854-E050-A8C063054F34},690000,27/02/2017 00:00,E7 0LU,1    RIDLEY ROAD
{4C4EDFFF-3BBD-1854-E050-A8C063054F34},280000,10/03/2017 00:00,E4 8DB,62    OLD CHURCH ROAD
{4C4EDFFF-3BC1-1854-E050-A8C063054F34},385000,20/02/2017 00:00,E16 3AL,28    MURRAY SQUARE
{4C4EDFFF-3D2A-1854-E050-A8C063054F34},451200,16/02/2017 00:00,E4 9JJ,13    HALDAN ROAD
{4C4EDFFF-3D2C-1854-E050-A8C063054F34},467500,03/03/2017 00:00,E3 2UR,PARK WEST BUILDING  FLAT 43  FAIRFIELD ROAD
{4C4EDFFF-3D2F-1854-E050-A8C063054F34},410000,20/01/2017 00:00,E17 9HZ,180    SHERNHALL STREET
{4C4EDFFF-3D30-1854-E050-A8C063054F34},535000,22/02/2017 00:00,E2 7EQ,27    EQUITY SQUARE
{4C4EDFFF-3D31-1854-E050-A8C063054F34},550000,23/02/2017 00:00,E8 4NL,45    SHRUBLAND ROAD
{4C4EDFFF-3D32-1854-E050-A8C063054F34},360000,10/02/2017 00:00,E14 3LH,"PENINSULA COURT, 121  FLAT 7  EAST FERRY ROAD"
{4C4EDFFF-3D34-1854-E050-A8C063054F34},605000,24/02/2017 00:00,E17 8JR,142    FARMILO ROAD
{4C4EDFFF-3D36-1854-E050-A8C063054F34},410000,24/01/2017 00:00,N21 1RF,"HANOVER LODGE, 10  FLAT 6  BROOK PARK CLOSE"
